loan_id,customer_id,amount,interest_rate,status
1,46623,11944305.3401106,12.451730165249488,Active
2,126248,20105947.149604544,13.316691862597283,Closed
3,62832,27083791.432490315,21.600044954138916,Active
4,24320,5097485.854018105,16.127548538015553,Active
5,87423,13390961.196360685,15.074723652162705,Active
6,107814,5614204.288434484,20.418240180413633,Active
7,85695,26616987.324184593,15.013028014538996,Active
8,109373,19361532.697421037,12.128303786969038,Active
9,15169,6657049.02095547,17.681857818396512,Default
10,91251,15805409.761305593,8.0,Active
11,143146,11471549.710367955,13.333724028860269,Active
12,15514,4534470.540777165,16.482977997750183,Closed
13,16087,14436543.40942892,13.174088105709796,Active
14,93265,10486224.605508978,18.448485536761012,Active
15,103987,30699676.549318664,9.454744195855955,Active
16,127564,20504211.292567614,17.133771229148174,Active
17,83866,29258323.30269086,11.985963830419557,Active
18,71379,5850163.307041242,11.752492311209863,Active
19,4351,52330899.706359945,11.277353428873509,Closed
20,77538,268467808.49583256,18.088077041235,Active
21,81520,11987055.18882593,10.402120739902994,Active
22,49447,22151014.22059827,10.62851683600044,Closed
23,25118,11489224.647163732,11.743600869536458,Closed
24,63382,14188351.77074161,14.645296528436635,Active
25,8655,37606252.6012691,14.457223063022955,Active
26,7958,48280258.53782631,9.950708952170622,Closed
27,125216,17766748.28300474,13.242520825222053,Active
28,98372,57614394.75147954,18.09214811406144,Closed
29,135485,13250592.825924132,14.630207930124566,Active
30,55523,4627038.021332155,15.596794482481044,Closed
31,36325,8620582.758197654,14.377117970948037,Active
32,16289,18278060.65127184,15.376841220483861,Default
33,61314,7841293.627333624,10.615393497879808,Active
34,59675,24199987.02490901,13.866069866605509,Closed
35,107767,11982992.080418708,21.268848548895743,Default
36,51069,5185511.404466212,14.817248206521954,Closed
37,130072,3432478.894796565,19.505273531265367,Closed
38,44408,18975982.16499852,12.727785819177566,Active
39,57223,6065325.388524464,15.635402106883319,Active
40,40941,6116574.00361343,17.34317143148174,Default
41,69160,14900047.592391154,18.572143024871032,Closed
42,70737,27091558.159056082,14.167932328030313,Active
43,122879,20210421.00458781,9.077224461396906,Active
44,142677,4289141.253666855,15.045326346467888,Closed
45,19101,37604310.90277729,14.973733462248756,Active
46,130039,18646741.98396717,8.786411313430783,Closed
47,88633,18174369.762545973,14.572814490778681,Active
48,26493,29238014.71167386,13.468133963831473,Default
49,65001,15419343.408241075,20.15186407747249,Active
50,129728,6172857.326647173,14.177048606181874,Active
51,117921,59149155.39011871,13.980691793674735,Active
52,73338,15714639.38460715,13.231650193554522,Active
53,124182,6058609.840186569,11.13842913978181,Active
54,118438,20126495.85767994,8.229017961021432,Active
